,Title,Artist,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
63,pride.is.the.devil,J. Cole & Lil Baby,0.861,0.656,4,-7.867,0,0.425,0.104,0.0,0.0986,0.331,88.967,audio_features,5W8jRrZ6tWrTrqnKRtIQBf,spotify:track:5W8jRrZ6tWrTrqnKRtIQBf,https://api.spotify.com/v1/tracks/5W8jRrZ6tWrTrqnKRtIQBf,https://api.spotify.com/v1/audio-analysis/5W8jRrZ6tWrTrqnKRtIQBf,218210,4
64,"1 Step Forward, 3 Steps Back",Olivia Rodrigo,0.473,0.203,2,-12.627,1,0.102,0.941,0.0,0.126,0.419,168.884,audio_features,4wcBRRpIfesgcyUtis7PEg,spotify:track:4wcBRRpIfesgcyUtis7PEg,https://api.spotify.com/v1/tracks/4wcBRRpIfesgcyUtis7PEg,https://api.spotify.com/v1/audio-analysis/4wcBRRpIfesgcyUtis7PEg,163587,4
65,Ski,Young Thug & Gunna,0.953,0.621,8,-7.638,0,0.221,0.017,0.0,0.0398,0.883,123.016,audio_features,6755DFiZ7CWe2WMdTGW5C1,spotify:track:6755DFiZ7CWe2WMdTGW5C1,https://api.spotify.com/v1/tracks/6755DFiZ7CWe2WMdTGW5C1,https://api.spotify.com/v1/audio-analysis/6755DFiZ7CWe2WMdTGW5C1,152333,4
66,Medical,Lil Baby & Lil Durk,0.763,0.798,2,-4.692,1,0.397,0.0555,0.0,0.116,0.482,77.987,audio_features,5BCzsnN4U4OvOegjErHTUF,spotify:track:5BCzsnN4U4OvOegjErHTUF,https://api.spotify.com/v1/tracks/5BCzsnN4U4OvOegjErHTUF,https://api.spotify.com/v1/audio-analysis/5BCzsnN4U4OvOegjErHTUF,187680,4
67,Rich Off Pain,"Lil Baby, Lil Durk & Rod Wave",0.469,0.613,11,-6.556,1,0.335,0.0747,0.0,0.205,0.135,72.434,audio_features,6MSyik7EzWsHQjTOPLFBrr,spotify:track:6MSyik7EzWsHQjTOPLFBrr,https://api.spotify.com/v1/tracks/6MSyik7EzWsHQjTOPLFBrr,https://api.spotify.com/v1/audio-analysis/6MSyik7EzWsHQjTOPLFBrr,235015,1
68,Leave Before You Love Me,Marshmello X Jonas Brothers,0.721,0.738,7,-4.77,1,0.0403,0.00226,4.41e-06,0.118,0.637,119.976,audio_features,4qu63nuBpdn0qHUHuObEj1,spotify:track:4qu63nuBpdn0qHUHuObEj1,https://api.spotify.com/v1/tracks/4qu63nuBpdn0qHUHuObEj1,https://api.spotify.com/v1/audio-analysis/4qu63nuBpdn0qHUHuObEj1,154983,4
69,Lying,Lil Baby & Lil Durk,0.741,0.892,10,-4.225,0,0.304,0.172,0.0,0.126,0.56,159.088,audio_features,5LtzwqIWPXKEYfVcaY3bjc,spotify:track:5LtzwqIWPXKEYfVcaY3bjc,https://api.spotify.com/v1/tracks/5LtzwqIWPXKEYfVcaY3bjc,https://api.spotify.com/v1/audio-analysis/5LtzwqIWPXKEYfVcaY3bjc,181981,4
70,Snowflakes,Tom MacDonald,0.53,0.826,4,-6.369,1,0.43,0.0209,0.0,0.0915,0.277,95.99,audio_features,6gcRcCkx2K09BucndWZMCS,spotify:track:6gcRcCkx2K09BucndWZMCS,https://api.spotify.com/v1/tracks/6gcRcCkx2K09BucndWZMCS,https://api.spotify.com/v1/audio-analysis/6gcRcCkx2K09BucndWZMCS,229375,4
71,Single Saturday Night,Cole Swindell,0.623,0.79,7,-5.07,1,0.0473,0.118,0.0,0.226,0.694,81.949,audio_features,1irAliF0T8sLIOPJp6n7rU,spotify:track:1irAliF0T8sLIOPJp6n7rU,https://api.spotify.com/v1/tracks/1irAliF0T8sLIOPJp6n7rU,https://api.spotify.com/v1/audio-analysis/1irAliF0T8sLIOPJp6n7rU,187684,4
72,That's Facts,Lil Baby & Lil Durk,0.884,0.577,1,-4.716,1,0.319,0.0843,0.0,0.0602,0.854,137.032,audio_features,6dug6dIV40JMz2myhafHrm,spotify:track:6dug6dIV40JMz2myhafHrm,https://api.spotify.com/v1/tracks/6dug6dIV40JMz2myhafHrm,https://api.spotify.com/v1/audio-analysis/6dug6dIV40JMz2myhafHrm,218611,4
