,title,artist,cluster,origin,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms
0,butter,bts,5,1,0.9962824984619507,-1.231372229389883,0.7492242252025758,0.45316542498211126,0.7805108865553413,0.11591810534675473,-0.685852916631426,-0.4086052213634531,-0.6494666727230066,0.762846382116011,-0.4889808081905506,-1.2775013120043148
1,good 4 u,olivia rodrigo,1,1,-0.23865809793007411,-0.22100595643539306,1.026347784929648,0.4958935457200217,0.7805108865553413,0.8127948318428619,0.6390095599176762,-0.4086052213634531,-0.6850181251655953,0.7338660188712948,1.6135596667717627,-1.00013843773132
2,levitating,dua lipa featuring dababy,2,1,0.6749459147068828,0.4295713510279858,0.19497710574843113,0.5625255102273922,-1.2812121102030212,-0.2819608364702794,-0.6633705470893594,-0.4086052213634531,-0.797909579413114,1.7067782135153362,-0.746429467988592,-0.49586622041937506
3,peaches,justin bieber featuring daniel caesar & giveon,5,1,0.4796236775224305,-0.06329024553518042,-1.4677642526140027,0.15616016614656764,0.7805108865553413,0.4007900104346904,0.5831031347686649,-0.4086052213634531,1.4050330526434371,-0.19350560495962055,-1.2263897007723163,-0.5966923305710029
4,leave the door open,silk sonic (bruno mars & anderson .paak),5,1,-0.09374159937386703,-0.4575795227857129,-0.08214645397864118,-0.37659675186527797,0.7805108865553413,-0.6186276333923852,0.028032199360625596,-0.4086052213634531,-0.6363687691915265,0.8622076275264663,0.9177724410372772,0.29406648360277216
5,save your tears,the weeknd & ariana grande,5,1,0.30950430965210046,0.5725012140313035,-1.4677642526140027,0.6151139665202048,0.7805108865553413,-0.6174504767597905,-0.6128950318119666,-0.40849960072013486,-0.6307553819637494,0.34056108912157623,-0.1900582070708627,-0.7397350737568129
6,kiss me more,doja cat featuring sza,5,1,1.015184650447543,-0.038647165707022105,0.7492242252025758,0.9449870105387562,0.7805108865553413,-0.6633595854309867,0.2396779517104535,-0.40792128441081854,-0.44738473252302857,0.9574288210448193,-0.45312043684298225,-0.3784246473142172
7,astronaut in the ocean,masked wolf,2,1,1.115996127704035,-0.06821886150081208,-0.3592700137057135,-0.04821769808231762,-1.2812121102030212,0.07471762320593771,7.898678611999597e-05,-0.4086052213634531,-0.2789831156897135,-0.16038518982280234,0.9882375167645282,-1.9182793729478795
8,deja vu,olivia rodrigo,1,1,-1.019947046667885,-0.48715121857950283,1.026347784929648,-0.15907177356318944,0.7805108865553413,0.3654753114568473,1.66928510909231,-0.4085589041141291,0.912302395982997,-1.402400757453493,2.136508027514879,-0.244023563910572
9,yonaguni,bad bunny,1,1,0.271700005680916,-0.29986381188549965,-1.1906406928869304,0.6282610805934078,0.7805108865553413,0.38901844410874264,0.40340391107541484,-0.4086052213634531,-0.3725395694859996,-0.2928668503700759,2.094517046853514,-0.42207818396557434
